MC_samples M E
1017 0.99912 -1.99657
1018 0.999121 -1.99657
1019 0.999122 -1.99658
1020 0.999123 -1.99658
1021 0.999123 -1.99658
1022 0.999119 -1.99657
1023 0.999115 -1.99655
1024 0.999111 -1.99653
1025 0.999112 -1.99654
1026 0.999113 -1.99654
1027 0.999114 -1.99654
1028 0.999115 -1.99655
1029 0.999116 -1.99655
1030 0.999117 -1.99655
1031 0.999117 -1.99656
1032 0.999118 -1.99656
1033 0.999119 -1.99656
1034 0.99912 -1.99657
1035 0.999121 -1.99657
1036 0.999122 -1.99657
1037 0.999122 -1.99658
1038 0.999123 -1.99658
1039 0.999119 -1.99656
1040 0.99912 -1.99657
1041 0.999121 -1.99657
1042 0.999122 -1.99657
1043 0.999123 -1.99658
1044 0.999124 -1.99658
1045 0.999124 -1.99658
1046 0.999125 -1.99659
1047 0.999126 -1.99659
1048 0.999127 -1.99659
1049 0.999128 -1.9966
1050 0.999129 -1.9966
1051 0.999129 -1.9966
1052 0.99913 -1.99661
1053 0.999131 -1.99661
1054 0.999132 -1.99661
1055 0.999133 -1.99662
1056 0.999134 -1.99662
1057 0.999134 -1.99662
1058 0.999135 -1.99663
1059 0.999136 -1.99663
1060 0.999137 -1.99663
1061 0.999138 -1.99664
1062 0.999138 -1.99664
1063 0.999135 -1.99662
1064 0.999135 -1.99663
1065 0.999136 -1.99663
1066 0.999137 -1.99663
1067 0.999138 -1.99664
1068 0.999139 -1.99664
1069 0.999135 -1.99662
1070 0.999126 -1.99659
1071 0.999122 -1.99657
