MC_samples M E
437 0.999428 -1.99773
438 0.999429 -1.99774
439 0.999431 -1.99774
440 0.999432 -1.99775
441 0.999433 -1.99776
442 0.999434 -1.99776
443 0.999436 -1.99777
444 0.999437 -1.99777
445 0.999438 -1.99778
446 0.999439 -1.99778
447 0.999441 -1.99779
448 0.999442 -1.99779
449 0.999443 -1.9978
450 0.999444 -1.9978
451 0.999446 -1.9978
452 0.999447 -1.99781
453 0.999448 -1.99781
454 0.999449 -1.99782
455 0.999451 -1.99782
456 0.999452 -1.99783
457 0.999442 -1.99779
458 0.999432 -1.99775
459 0.999434 -1.99776
460 0.999435 -1.99776
461 0.999436 -1.99777
462 0.999437 -1.99777
463 0.999438 -1.99778
464 0.99944 -1.99778
465 0.999441 -1.99778
466 0.999442 -1.99779
467 0.999443 -1.99779
468 0.999444 -1.9978
469 0.999446 -1.9978
470 0.999447 -1.99781
471 0.999448 -1.99781
472 0.999439 -1.99778
473 0.99944 -1.99778
474 0.999441 -1.99778
475 0.999442 -1.99779
476 0.999443 -1.99779
477 0.999444 -1.9978
478 0.999446 -1.9978
479 0.999447 -1.99781
480 0.999448 -1.99781
481 0.999449 -1.99782
482 0.99945 -1.99782
483 0.999451 -1.99783
484 0.999452 -1.99783
485 0.999454 -1.99784
486 0.999455 -1.99784
487 0.999456 -1.99784
488 0.999457 -1.99785
489 0.999458 -1.99785
490 0.999459 -1.99786
491 0.99946 -1.99786
492 0.999461 -1.99787
493 0.999462 -1.99787
494 0.999464 -1.99787
495 0.999465 -1.99788
496 0.999466 -1.99788
497 0.999467 -1.99789
498 0.999468 -1.99789
499 0.999469 -1.9979
500 0.99947 -1.9979
501 0.999471 -1.9979
502 0.999472 -1.99791
503 0.999473 -1.99791
504 0.999474 -1.99792
505 0.999465 -1.99788
506 0.999447 -1.99781
507 0.999438 -1.99777
508 0.999429 -1.99774
509 0.99942 -1.9977
510 0.999422 -1.99771
511 0.999423 -1.99771
512 0.999414 -1.99768
513 0.999415 -1.99768
514 0.999416 -1.99768
515 0.999417 -1.99769
516 0.999419 -1.99769
517 0.99941 -1.99766
518 0.999411 -1.99766
519 0.999412 -1.99767
520 0.999413 -1.99767
521 0.999405 -1.99764
522 0.999406 -1.99764
523 0.999407 -1.99765
524 0.999408 -1.99765
525 0.99941 -1.99766
526 0.999411 -1.99766
527 0.999412 -1.99767
528 0.999413 -1.99767
529 0.999414 -1.99767
530 0.999415 -1.99768
531 0.999416 -1.99768
532 0.999417 -1.99769
533 0.999418 -1.99769
534 0.999419 -1.9977
535 0.999421 -1.9977
536 0.999422 -1.99771
537 0.999423 -1.99771
538 0.999424 -1.99771
539 0.999425 -1.99772
540 0.999426 -1.99772
541 0.999427 -1.99773
542 0.999428 -1.99773
543 0.999429 -1.99773
544 0.99943 -1.99774
545 0.999431 -1.99774
546 0.999432 -1.99775
547 0.999433 -1.99775
548 0.999434 -1.99776
549 0.999435 -1.99776
550 0.999427 -1.99773
551 0.999419 -1.9977
552 0.99942 -1.9977
553 0.999421 -1.9977
554 0.999422 -1.99771
555 0.999423 -1.99771
556 0.999424 -1.99772
557 0.999425 -1.99772
558 0.999427 -1.99772
559 0.999428 -1.99773
560 0.999429 -1.99773
561 0.99943 -1.99774
562 0.999422 -1.9977
563 0.999423 -1.99771
564 0.999424 -1.99771
565 0.999425 -1.99772
566 0.999426 -1.99772
567 0.999427 -1.99772
568 0.999428 -1.99773
569 0.999429 -1.99773
570 0.99943 -1.99774
571 0.999422 -1.99771
572 0.999414 -1.99767
573 0.999407 -1.99764
574 0.999408 -1.99765
575 0.999409 -1.99765
576 0.99941 -1.99766
577 0.999411 -1.99766
578 0.999412 -1.99766
579 0.999413 -1.99767
580 0.999414 -1.99767
581 0.999415 -1.99768
582 0.999416 -1.99768
583 0.9994 -1.99762
584 0.999392 -1.99759
585 0.999385 -1.99756
586 0.999377 -1.99753
587 0.99937 -1.9975
588 0.999354 -1.99745
589 0.999346 -1.99742
590 0.999339 -1.99739
591 0.99934 -1.99739
592 0.999341 -1.9974
593 0.999342 -1.9974
594 0.999343 -1.99741
595 0.999345 -1.99741
596 0.999346 -1.99742
597 0.999347 -1.99742
598 0.999348 -1.99742
599 0.999349 -1.99743
600 0.99935 -1.99743
601 0.999343 -1.9974
602 0.999344 -1.99741
603 0.999345 -1.99741
604 0.999346 -1.99742
605 0.999347 -1.99742
606 0.999348 -1.99743
607 0.999349 -1.99743
608 0.99935 -1.99743
609 0.999351 -1.99744
610 0.999352 -1.99744
611 0.999354 -1.99745
612 0.999355 -1.99745
613 0.999356 -1.99746
614 0.999357 -1.99746
615 0.999358 -1.99746
616 0.999359 -1.99747
617 0.99936 -1.99747
618 0.999361 -1.99748
619 0.999362 -1.99748
620 0.999355 -1.99745
621 0.999356 -1.99746
622 0.999357 -1.99746
623 0.99935 -1.99743
624 0.999343 -1.9974
625 0.999328 -1.99734
626 0.999313 -1.99728
627 0.999306 -1.99726
628 0.999307 -1.99726
629 0.999308 -1.99727
630 0.999302 -1.99724
631 0.999303 -1.99724
632 0.999304 -1.99725
633 0.999305 -1.99725
634 0.999306 -1.99726
635 0.999307 -1.99726
636 0.999308 -1.99726
637 0.999301 -1.99724
638 0.999303 -1.99724
639 0.999304 -1.99725
640 0.999305 -1.99725
641 0.999306 -1.99725
642 0.999307 -1.99726
643 0.999308 -1.99726
644 0.999309 -1.99727
645 0.99931 -1.99727
646 0.999311 -1.99728
647 0.999312 -1.99728
648 0.999313 -1.99728
649 0.999314 -1.99729
650 0.999315 -1.99729
651 0.999316 -1.9973
652 0.999317 -1.9973
653 0.999319 -1.9973
654 0.99932 -1.99731
655 0.999321 -1.99731
656 0.999322 -1.99732
657 0.999323 -1.99732
658 0.999324 -1.99733
659 0.999325 -1.99733
660 0.999326 -1.99733
661 0.999327 -1.99734
662 0.999328 -1.99734
663 0.999329 -1.99735
664 0.99933 -1.99735
665 0.999331 -1.99735
666 0.999332 -1.99736
667 0.999333 -1.99736
668 0.999334 -1.99737
669 0.999335 -1.99737
670 0.999328 -1.99734
671 0.999322 -1.99732
672 0.999315 -1.99729
673 0.999309 -1.99727
674 0.99931 -1.99727
675 0.999311 -1.99727
676 0.999312 -1.99728
677 0.999313 -1.99728
678 0.999314 -1.99729
679 0.999315 -1.99729
680 0.999316 -1.99729
681 0.999317 -1.9973
682 0.999318 -1.9973
683 0.999319 -1.99731
684 0.99932 -1.99731
685 0.999321 -1.99731
686 0.999315 -1.99729
687 0.999316 -1.99729
688 0.999317 -1.9973
689 0.999318 -1.9973
690 0.999319 -1.9973
691 0.99932 -1.99731
692 0.999321 -1.99731
693 0.999322 -1.99732
694 0.999323 -1.99732
695 0.999324 -1.99732
696 0.999325 -1.99733
697 0.999326 -1.99733
698 0.999327 -1.99734
699 0.999328 -1.99734
700 0.999329 -1.99734
701 0.99933 -1.99735
702 0.99933 -1.99735
703 0.999331 -1.99735
704 0.999332 -1.99736
705 0.999333 -1.99736
706 0.999334 -1.99737
707 0.999335 -1.99737
708 0.999336 -1.99737
709 0.999337 -1.99738
710 0.999338 -1.99738
711 0.999339 -1.99738
712 0.99934 -1.99739
713 0.999341 -1.99739
714 0.999342 -1.99739
715 0.999343 -1.9974
716 0.999344 -1.9974
717 0.999344 -1.99741
718 0.999345 -1.99741
719 0.999346 -1.99741
720 0.999347 -1.99742
721 0.999348 -1.99742
722 0.999349 -1.99742
723 0.99935 -1.99743
724 0.999351 -1.99743
725 0.999352 -1.99743
726 0.999353 -1.99744
727 0.999354 -1.99744
728 0.999354 -1.99745
729 0.999355 -1.99745
730 0.999356 -1.99745
731 0.999357 -1.99746
732 0.999358 -1.99746
733 0.999359 -1.99746
734 0.99936 -1.99747
735 0.999361 -1.99747
736 0.999361 -1.99747
737 0.999362 -1.99748
738 0.999363 -1.99748
739 0.999364 -1.99748
740 0.999365 -1.99749
741 0.999366 -1.99749
742 0.999367 -1.99749
743 0.999367 -1.9975
744 0.999368 -1.9975
745 0.999369 -1.9975
746 0.99937 -1.99751
747 0.999371 -1.99751
748 0.999365 -1.99749
749 0.999366 -1.99749
750 0.999367 -1.99749
751 0.999368 -1.9975
752 0.999368 -1.9975
753 0.999369 -1.9975
754 0.99937 -1.99751
755 0.999364 -1.99748
756 0.999365 -1.99749
757 0.999366 -1.99749
758 0.999367 -1.99749
759 0.999368 -1.9975
760 0.999368 -1.9975
761 0.999369 -1.9975
762 0.99937 -1.99751
763 0.999371 -1.99751
764 0.999372 -1.99751
765 0.999373 -1.99752
766 0.999373 -1.99752
767 0.999374 -1.99752
768 0.999375 -1.99753
769 0.999376 -1.99753
770 0.999377 -1.99753
771 0.999377 -1.99754
772 0.999378 -1.99754
773 0.999373 -1.99752
774 0.999373 -1.99752
775 0.999374 -1.99752
776 0.999375 -1.99753
777 0.999369 -1.9975
778 0.99937 -1.99751
779 0.999371 -1.99751
780 0.999372 -1.99751
781 0.999373 -1.99752
782 0.999373 -1.99752
783 0.999374 -1.99752
784 0.999375 -1.99753
785 0.999369 -1.9975
786 0.99937 -1.99751
787 0.999371 -1.99751
788 0.999372 -1.99751
789 0.999366 -1.99749
790 0.999367 -1.99749
791 0.999368 -1.9975
792 0.999369 -1.9975
793 0.999369 -1.9975
794 0.999364 -1.99748
795 0.999365 -1.99748
796 0.999366 -1.99749
797 0.999366 -1.99749
798 0.999367 -1.99749
799 0.999368 -1.9975
800 0.999369 -1.9975
801 0.99937 -1.9975
802 0.99937 -1.99751
803 0.999371 -1.99751
804 0.999372 -1.99751
805 0.999373 -1.99752
